Pair_4_A
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
20
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
15
16
17
18
19
20
15
16
17
18
19
20
21
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
 6
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
16
17
18
19
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
15
16
17
18
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
16
17
18
19
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
15
16
17
18
19
20
15
16
17
18
19
 6
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
16
17
18
19
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
 7
15
16
17
18
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
17
18
19
20
15
16
17
18
19
15
16
17
18
19
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
16
17
18
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
16
17
18
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
21
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
15
16
17
18
19
20
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
20
15
16
17
18
19
