Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,31.77,32.63,35.379,1.081
4/22/2017,0%,31.761,32.268,33.785,0.548
4/22/2017,0%,31.816,32.28,34.482,0.735
4/22/2017,0%,31.778,32.136,32.757,0.322
4/22/2017,0%,31.825,32.14,33.219,0.388
4/22/2017,0%,31.736,32.064,33.721,0.446
4/22/2017,0%,31.772,32.085,32.733,0.326
4/22/2017,0%,31.819,32.467,35.433,0.787
4/22/2017,0%,31.715,32.02,32.718,0.247
4/22/2017,0%,31.813,32.458,34.824,0.918
4/22/2017,0%,31.753,32.127,33.559,0.46
4/22/2017,0%,31.765,32.154,34.484,0.711
4/22/2017,0%,31.839,32.181,34.091,0.552
4/22/2017,0%,31.791,32.114,34.333,0.579
4/22/2017,0%,31.788,32.082,33.576,0.394
4/22/2017,0%,31.732,32.342,34.532,0.887
4/22/2017,0%,31.817,32.136,34.285,0.576
4/23/2017,0%,31.832,32.454,34.674,0.927
4/23/2017,0%,31.922,33.009,36.075,1.012
4/23/2017,0%,31.823,32.334,34.358,0.598
4/23/2017,0%,31.813,32.651,34.666,0.803
4/23/2017,0%,33.353,34.862,37.303,1.01
4/23/2017,0%,31.806,32.396,34.357,0.802
4/23/2017,0%,31.795,32.493,35.443,1.069
4/23/2017,0%,31.792,32.386,35.549,0.972
4/23/2017,0%,31.784,32.297,33.887,0.563
4/23/2017,0%,31.815,32.356,33.961,0.713
4/23/2017,0%,31.792,32.281,34.514,0.66
4/23/2017,0%,31.776,32.502,38.787,1.521
4/23/2017,0%,31.835,32.425,34.144,0.682
4/23/2017,0%,31.998,32.364,32.976,0.299
4/23/2017,0%,31.816,32.002,32.217,0.228
4/23/2017,0%,31.783,32.432,34.698,0.921
4/23/2017,0%,31.787,32.348,35.25,0.946
4/23/2017,0%,31.826,32.152,33.334,0.377
4/23/2017,0%,31.835,32.184,32.847,0.25
4/23/2017,0%,31.868,32.417,34.159,0.69
4/23/2017,0%,31.879,32.507,35.101,0.946
4/23/2017,0%,31.821,32.352,34.26,0.704
4/23/2017,0%,31.898,34.438,38.21,1.391
4/23/2017,0%,31.811,32.638,34.104,0.776
4/24/2017,0%,31.842,32.469,34.556,0.765
4/24/2017,0%,32.036,32.93,34.591,0.615
4/24/2017,0%,31.764,32.852,36.558,1.438
4/24/2017,0%,31.917,33.187,36.818,1.511
4/24/2017,0%,31.961,33.018,34.721,1.003
4/24/2017,0%,31.824,32.873,35.043,1.127
4/24/2017,0%,31.841,33.365,37.246,1.42
4/24/2017,0%,31.874,33.339,36.723,1.364
4/24/2017,0%,31.797,35.098,43.201,2.635
4/24/2017,0%,31.872,33.856,38.63,1.977
4/24/2017,0%,31.817,33.136,36.173,1.306
4/24/2017,0%,31.881,33.063,36.408,1.288
4/24/2017,0%,31.832,32.364,33.51,0.505
