Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,123.463,123.537,123.927,0.481
4/22/2017,0%,123.422,123.575,123.801,0.424
4/22/2017,0%,123.466,123.534,123.766,0.405
4/22/2017,0%,123.448,123.559,123.782,0.423
4/22/2017,0%,123.461,123.543,123.777,0.42
4/22/2017,0%,123.461,123.539,123.835,0.342
4/22/2017,0%,123.459,123.552,123.836,0.283
4/22/2017,0%,123.475,123.544,123.727,0.388
4/22/2017,0%,123.454,123.54,123.824,0.323
4/22/2017,0%,123.492,123.79,128.294,1.093
4/22/2017,0%,123.456,123.546,123.79,0.435
4/22/2017,0%,123.488,123.556,123.776,0.257
4/22/2017,0%,123.489,123.581,123.804,0.421
4/22/2017,0%,123.466,123.569,123.788,0.341
4/22/2017,0%,123.464,123.561,123.797,0.343
4/22/2017,0%,143.207,143.328,143.723,0.265
4/22/2017,0%,143.164,143.336,143.565,0.369
4/23/2017,0%,123.464,123.564,123.752,0.323
4/23/2017,0%,123.459,123.571,123.857,0.305
4/23/2017,0%,123.491,123.579,123.792,0.489
4/23/2017,0%,123.511,123.593,123.898,0.453
4/23/2017,0%,123.429,123.534,123.802,0.26
4/23/2017,0%,123.457,123.555,123.824,0.084
4/23/2017,0%,123.42,123.752,127.393,0.862
4/23/2017,0%,123.49,123.561,123.929,0.182
4/23/2017,0%,123.42,123.511,123.756,0.067
4/23/2017,0%,123.443,123.557,123.815,0.08
4/23/2017,0%,123.485,123.553,123.805,0.065
4/23/2017,0%,123.425,123.557,123.997,0.249
4/23/2017,0%,123.439,123.549,123.84,0.424
4/23/2017,0%,123.472,123.55,123.846,0.407
4/23/2017,0%,123.483,123.559,123.814,0.394
4/23/2017,0%,123.485,123.564,123.771,0.39
4/23/2017,0%,123.48,123.574,123.761,0.422
4/23/2017,0%,123.494,123.583,123.804,0.284
4/23/2017,0%,123.473,123.557,123.857,0.36
4/23/2017,0%,123.462,123.575,123.882,0.089
4/23/2017,0%,123.482,123.56,123.776,0.231
4/23/2017,0%,123.495,123.58,123.791,0.435
4/23/2017,0%,123.451,123.572,123.873,0.346
4/23/2017,0%,123.502,123.602,123.82,0.238
4/24/2017,0%,123.484,123.547,123.816,0.489
4/24/2017,0%,123.488,123.587,123.837,0.072
4/24/2017,0%,123.48,123.56,123.741,0.255
4/24/2017,0%,123.524,123.593,123.748,0.434
4/24/2017,0%,123.482,123.556,123.775,0.375
4/24/2017,0%,123.471,123.559,123.699,0.202
4/24/2017,0%,123.486,123.625,123.884,0.485
4/24/2017,0%,123.491,123.64,123.968,0.284
4/24/2017,0%,123.451,123.634,124.303,0.502
4/24/2017,0%,123.479,123.614,123.827,0.286
4/24/2017,0%,123.438,123.575,123.787,0.481
4/24/2017,0%,123.463,123.578,123.854,0.24
4/24/2017,0%,123.459,123.605,123.794,0.38
4/24/2017,0%,123.461,123.574,124.014,0.352
4/24/2017,0%,123.476,123.593,123.805,0.465
4/24/2017,0%,123.478,123.547,123.744,0.448
4/24/2017,0%,123.488,123.575,123.75,0.448
4/24/2017,0%,123.497,123.656,124.054,0.207
4/24/2017,0%,123.474,123.589,123.919,0.454
4/24/2017,0%,123.457,123.545,123.827,0.391
4/24/2017,0%,123.493,123.573,123.887,0.305
4/24/2017,0%,123.468,123.573,123.837,0.361
4/24/2017,0%,123.471,123.548,123.746,0.319
4/24/2017,0%,123.478,123.551,123.795,0.169
4/25/2017,0%,123.457,123.546,123.866,0.261
4/25/2017,0%,123.46,123.553,123.718,0.165
