Packet Loss,Probability,Packet Loss,Probability
0%,0.439205955,0%,0.439205955
0%,0.441687345,0%,0.441687345
0%,0.444168734,0%,0.444168734
0%,0.446650124,0%,0.446650124
0%,0.449131514,0%,0.449131514
0%,0.451612903,0%,0.451612903
0%,0.454094293,0%,0.454094293
0%,0.456575682,0%,0.456575682
0%,0.459057072,0%,0.459057072
0%,0.461538462,0%,0.461538462
0%,0.464019851,0%,0.464019851
0%,0.466501241,0%,0.466501241
0%,0.46898263,0%,0.46898263
0%,0.47146402,0%,0.47146402
0%,0.473945409,0%,0.473945409
0%,0.476426799,0%,0.476426799
0%,0.478908189,0%,0.478908189
0%,0.481389578,0%,0.481389578
0%,0.483870968,0%,0.483870968
0%,0.486352357,0%,0.486352357
0%,0.488833747,0%,0.488833747
0%,0.491315136,0%,0.491315136
0%,0.493796526,0%,0.493796526
0%,0.496277916,0%,0.496277916
0%,0.498759305,0%,0.498759305
0%,0.501240695,0%,0.501240695
0%,0.503722084,0%,0.503722084
0%,0.506203474,0%,0.506203474
0%,0.508684864,0%,0.508684864
0%,0.511166253,0%,0.511166253
0%,0.513647643,0%,0.513647643
0%,0.516129032,0%,0.516129032
0%,0.518610422,0%,0.518610422
0%,0.521091811,0%,0.521091811
0%,0.523573201,0%,0.523573201
0%,0.526054591,0%,0.526054591
0%,0.52853598,0%,0.52853598
0%,0.53101737,0%,0.53101737
0%,0.533498759,0%,0.533498759
0%,0.535980149,0%,0.535980149
0%,0.538461538,0%,0.538461538
0%,0.540942928,0%,0.540942928
0%,0.543424318,0%,0.543424318
0%,0.545905707,0%,0.545905707
0%,0.548387097,0%,0.548387097
0%,0.550868486,0%,0.550868486
0%,0.553349876,0%,0.553349876
0%,0.555831266,0%,0.555831266
0%,0.558312655,0%,0.558312655
0%,0.560794045,0%,0.560794045
0%,0.563275434,0%,0.563275434
0%,0.565756824,0%,0.565756824
0%,0.568238213,0%,0.568238213
0%,0.570719603,0%,0.570719603
0%,0.573200993,0%,0.573200993
