Packet Loss,Probability,Packet Loss,Probability
0%,0.00140056,0%,0.002457002
0%,0.00280112,0%,0.004914005
0%,0.004201681,0%,0.007371007
0%,0.005602241,0%,0.00982801
0%,0.007002801,0%,0.012285012
0%,0.008403361,0%,0.014742015
0%,0.009803922,0%,0.017199017
0%,0.011204482,0%,0.01965602
0%,0.012605042,0%,0.022113022
0%,0.014005602,0%,0.024570025
0%,0.015406162,0%,0.027027027
0%,0.016806723,0%,0.029484029
0%,0.018207283,0%,0.031941032
0%,0.019607843,0%,0.034398034
0%,0.021008403,0%,0.036855037
0%,0.022408964,0%,0.039312039
0%,0.023809524,0%,0.041769042
0%,0.025210084,0%,0.044226044
0%,0.026610644,0%,0.046683047
0%,0.028011204,0%,0.049140049
0%,0.029411765,0%,0.051597052
0%,0.030812325,0%,0.054054054
0%,0.032212885,0%,0.056511057
0%,0.033613445,0%,0.058968059
0%,0.035014006,0%,0.061425061
0%,0.036414566,0%,0.063882064
0%,0.037815126,0%,0.066339066
0%,0.039215686,0%,0.068796069
0%,0.040616246,0%,0.071253071
0%,0.042016807,0%,0.073710074
0%,0.043417367,0%,0.076167076
0%,0.044817927,0%,0.078624079
0%,0.046218487,0%,0.081081081
0%,0.047619048,0%,0.083538084
0%,0.049019608,0%,0.085995086
0%,0.050420168,0%,0.088452088
0%,0.051820728,0%,0.090909091
0%,0.053221289,0%,0.093366093
0%,0.054621849,0%,0.095823096
0%,0.056022409,0%,0.098280098
0%,0.057422969,0%,0.100737101
0%,0.058823529,0%,0.103194103
0%,0.06022409,0%,0.105651106
0%,0.06162465,0%,0.108108108
0%,0.06302521,0%,0.110565111
0%,0.06442577,0%,0.113022113
0%,0.065826331,0%,0.115479115
0%,0.067226891,0%,0.117936118
0%,0.068627451,0%,0.12039312
0%,0.070028011,0%,0.122850123
0%,0.071428571,0%,0.125307125
0%,0.072829132,0%,0.127764128
0%,0.074229692,0%,0.13022113
0%,0.075630252,0%,0.132678133
0%,0.077030812,0%,0.135135135
0%,0.078431373,0%,0.137592138
0%,0.079831933,0%,0.14004914
0%,0.081232493,0%,0.142506143
0%,0.082633053,0%,0.144963145
0%,0.084033613,0%,0.147420147
0%,0.085434174,0%,0.14987715
0%,0.086834734,0%,0.152334152
0%,0.088235294,0%,0.154791155
0%,0.089635854,0%,0.157248157
0%,0.091036415,0%,0.15970516
0%,0.092436975,0%,0.162162162
0%,0.093837535,0%,0.164619165
0%,0.095238095,0%,0.167076167
0%,0.096638655,0%,0.16953317
0%,0.098039216,0%,0.171990172
0%,0.099439776,0%,0.174447174
0%,0.100840336,0%,0.176904177
0%,0.102240896,0%,0.179361179
0%,0.103641457,0%,0.181818182
0%,0.105042017,0%,0.184275184
0%,0.106442577,0%,0.186732187
0%,0.107843137,0%,0.189189189
0%,0.109243697,0%,0.191646192
0%,0.110644258,0%,0.194103194
0%,0.112044818,0%,0.196560197
0%,0.113445378,0%,0.199017199
0%,0.114845938,0%,0.201474201
0%,0.116246499,0%,0.203931204
0%,0.117647059,0%,0.206388206
0%,0.119047619,0%,0.208845209
