Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/20/2017,0%,212.935,215.563,222.206,2.994
4/21/2017,0%,212.715,214.852,224.298,3.017
4/21/2017,0%,212.882,216.872,228.306,5.234
4/21/2017,0%,212.87,220.577,239.008,7.943
4/21/2017,0%,212.914,217.091,226.668,4.618
4/21/2017,0%,214.253,220.276,231.334,5.996
4/21/2017,0%,212.976,215.532,224.135,3.16
4/21/2017,0%,215.35,239.135,430.461,46.571
4/21/2017,0%,214.997,229.806,276.493,14.169
4/21/2017,0%,214.283,225.597,269.965,11.683
4/21/2017,0%,215.719,242.544,311.106,32.964
4/21/2017,0%,216.578,238.927,479.592,56.012
4/21/2017,0%,214.839,230.428,321.154,25.363
4/21/2017,0%,214.81,228.099,245.705,7.25
4/21/2017,0%,213.323,232.41,318.722,26.724
4/21/2017,0%,213.997,235.632,320.087,31.672
4/21/2017,0%,213.033,251.072,409.078,56.736
4/21/2017,0%,213.871,229.314,346.162,27.774
4/21/2017,0%,214.165,224.462,236.502,6.241
4/21/2017,0%,213.009,222.826,242.394,7.739
4/21/2017,0%,212.761,218.234,235.902,5.921
4/21/2017,0%,212.799,218.07,226.262,3.485
4/21/2017,0%,212.91,215.179,224.695,2.848
4/21/2017,0%,212.886,215.901,236.027,5.383
4/22/2017,0%,213.244,230.188,313.333,22.229
4/22/2017,0%,213.177,242.01,394.158,44.749
4/22/2017,0%,213.263,232.285,406.158,41.011
4/22/2017,0%,212.879,223.195,240.645,8.945
4/22/2017,0%,213.77,220.182,238.263,6.448
4/22/2017,0%,213.17,221.202,237.129,7.797
4/22/2017,0%,213.572,224.027,250.309,9.03
4/22/2017,0%,213.051,224.699,237.227,8.126
4/22/2017,0%,213.17,219.087,241.369,6.739
4/22/2017,0%,214.916,226.894,235.16,6.579
4/22/2017,0%,213.274,222.381,260.171,10.803
4/22/2017,0%,213.821,228.417,245.938,9.783
4/22/2017,0%,213.206,231.909,250.668,11.625
4/22/2017,0%,213.023,227.173,243.177,8.689
4/22/2017,0%,213.034,227.012,251.109,11.571
4/22/2017,0%,213.087,218.325,230.673,5.293
4/22/2017,0%,213.01,215.206,232.754,4.654
4/16/2017,0%,190.748,194.836,214.467,5.586
4/16/2017,0%,192.679,211.324,246.38,14.651
4/16/2017,0%,190.659,200.441,224.322,10.339
4/16/2017,0%,191.145,198.56,223.266,7.594
4/16/2017,0%,213.364,219.774,234.949,5.969
4/16/2017,0%,212.994,216.072,234.505,5.063
4/16/2017,0%,213.213,214.656,224.777,2.564
4/16/2017,0%,214.042,242.35,379.252,38.896
4/16/2017,0%,215.021,221.158,231.789,5.531
4/16/2017,0%,214.722,238.973,362.973,33.795
4/16/2017,0%,213.178,217.159,224.898,4.178
4/16/2017,0%,213.046,218.799,228.05,5.201
4/16/2017,0%,213.192,217.282,227.099,3.505
4/16/2017,0%,212.778,217.497,239.111,6.596
4/16/2017,0%,213,217.223,238.914,6.156
