Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,179.615,180.757,186.647,1.816
4/22/2017,0%,179.551,181.913,196.926,4.055
4/22/2017,0%,179.58,180.094,182.512,0.842
4/22/2017,0%,179.584,179.851,180.437,0.402
4/22/2017,0%,179.66,180.951,188.43,2.234
4/22/2017,0%,179.6,180.781,184.838,1.603
4/22/2017,0%,179.592,182.466,196.74,4.879
4/22/2017,0%,179.624,182.153,192.04,2.973
4/22/2017,0%,179.573,180.291,185.308,1.337
4/22/2017,0%,179.55,179.797,180.291,0.607
4/22/2017,0%,179.598,180.847,185.077,1.427
4/22/2017,0%,179.594,179.787,180.507,0.483
4/22/2017,0%,183.696,277.448,412.663,69.854
4/22/2017,0%,179.573,282.821,387.219,72.456
4/22/2017,0%,179.599,242.08,434.293,85.729
4/22/2017,0%,183.756,273.602,421.519,66.285
4/22/2017,0%,179.695,281.868,418.017,91.833
4/23/2017,0%,179.556,202.268,289.797,26.788
4/23/2017,0%,183.185,262.105,370.55,55.208
4/23/2017,0%,179.558,179.996,184.344,1.089
4/23/2017,0%,179.54,180.028,185.714,1.388
4/23/2017,0%,179.59,180.101,184.577,1.175
4/23/2017,0%,179.546,182.918,201.205,6.57
4/23/2017,0%,179.577,179.779,179.979,0.317
4/23/2017,0%,179.663,179.97,181.131,0.564
4/23/2017,0%,179.604,184.087,197.121,5.009
4/23/2017,0%,179.699,186.668,216.81,10.089
4/23/2017,0%,179.573,180.03,181.755,0.572
4/23/2017,0%,179.64,184.774,200.994,6.888
4/23/2017,0%,179.584,181.464,198.834,4.32
4/23/2017,0%,179.635,183.399,209.185,6.759
4/23/2017,0%,179.519,180.485,186.194,1.581
4/23/2017,0%,179.566,179.802,180.825,0.65
4/23/2017,0%,179.58,211.424,362.765,64.264
4/23/2017,0%,179.462,181.409,198.244,4.132
4/23/2017,0%,179.527,179.794,180.121,0.216
4/23/2017,0%,179.568,180.587,188.968,2.197
4/23/2017,0%,179.62,180.46,185.62,1.751
4/23/2017,0%,179.543,185.213,230.901,11.478
4/23/2017,0%,179.682,181.096,189.448,2.39
4/23/2017,0%,179.675,181.006,191.55,3.479
4/24/2017,0%,179.581,180.017,184.162,1.032
4/24/2017,0%,179.563,180.33,185.835,1.585
4/24/2017,0%,179.722,180.197,184.112,0.97
4/24/2017,0%,179.745,318.36,406.061,66.417
4/24/2017,0%,179.603,179.925,180.84,0.387
4/24/2017,0%,179.763,285.363,438.571,92.002
4/24/2017,0%,179.662,179.852,180.276,0.574
4/24/2017,0%,179.595,179.757,179.888,0.335
4/24/2017,0%,179.626,253.803,331.834,51.221
4/24/2017,0%,179.75,209.416,324.629,35.188
4/24/2017,0%,179.778,181.561,190.493,3.075
4/24/2017,0%,179.65,181.376,189.36,2.351
4/24/2017,0%,180.578,235.152,329.249,47.983
4/24/2017,0%,179.903,215.904,273.88,35.965
4/24/2017,0%,180.306,189.398,201.71,5.002
4/24/2017,0%,179.659,179.966,181.298,0.653
4/24/2017,0%,179.629,180.61,184.851,1.356
4/24/2017,0%,179.718,185.545,215.587,9.818
4/24/2017,0%,179.587,180.551,184.556,1.254
4/24/2017,0%,179.571,179.811,180.217,0.36
4/24/2017,0%,179.563,180.317,184.441,1.104
4/24/2017,0%,179.66,180.126,181.196,0.464
4/24/2017,0%,179.554,206.111,246.458,31.9
4/25/2017,0%,179.59,180.164,183.832,0.914
4/25/2017,0%,179.536,180.362,183.819,1.314
4/25/2017,0%,179.738,180.795,182.79,1.011
4/25/2017,0%,179.796,180.817,182.676,1.204
4/25/2017,0%,179.679,180.602,182.836,1.115
4/25/2017,0%,179.64,180.845,184.165,1.225
4/25/2017,0%,179.867,201.635,239.891,15.874
4/25/2017,0%,179.811,180.372,183.268,1.03
4/25/2017,0%,179.697,182.788,228.284,10.464
4/25/2017,0%,179.561,185.252,236.061,16.136
4/25/2017,0%,179.737,180.747,196.873,3.732
4/25/2017,0%,179.667,181.702,213.367,7.282
4/25/2017,0%,179.748,179.979,181.086,0.34
4/25/2017,0%,179.729,180.531,183.451,1.001
4/25/2017,0%,179.735,183.417,214.501,7.725
4/25/2017,0%,179.731,180.784,189.264,2.094
4/25/2017,0%,179.772,180.817,193.382,2.95
4/19/2017,0%,179.644,180.289,183.434,1.224
4/19/2017,0%,179.599,181.512,193.679,3.231
4/19/2017,0%,179.555,179.926,182.265,0.736
4/19/2017,0%,179.529,180.352,186.557,1.629
4/19/2017,0%,179.664,180.265,185.815,1.428
4/19/2017,0%,179.539,180.037,181.585,0.532
4/19/2017,0%,179.649,182.417,192.066,3.61
4/19/2017,0%,179.56,182.049,191.173,3.292
4/19/2017,0%,179.6,179.921,181.529,0.486
4/19/2017,0%,179.5,270.201,385.48,66.041
4/19/2017,0%,179.564,179.862,180.214,0.576
4/19/2017,0%,179.586,186.307,204.881,9.728
4/19/2017,0%,183.342,294.166,415.495,85.721
4/19/2017,0%,179.531,230.599,314.809,46.251
4/19/2017,0%,180.401,238.265,400.401,56.403
4/19/2017,0%,179.5,256.321,388.343,67.237
4/20/2017,0%,179.557,222.654,340.89,55.494
4/20/2017,0%,179.703,243.185,308.026,33.136
4/20/2017,0%,179.574,204.128,276.67,27.918
4/20/2017,0%,179.575,179.743,179.945,0.316
4/20/2017,0%,179.556,179.833,180.45,0.469
4/20/2017,0%,179.556,180.061,181.168,0.776
4/20/2017,0%,179.612,180.556,184.058,1.253
4/20/2017,0%,179.724,189.478,202.177,9.65
4/20/2017,0%,179.687,179.956,180.999,0.358
4/20/2017,0%,179.607,180.313,183.63,1.146
4/20/2017,0%,179.584,183.475,209.212,6.93
4/20/2017,0%,179.586,179.949,181.995,0.788
4/20/2017,0%,179.591,183.039,191.186,2.89
4/20/2017,0%,180.789,188.559,200.759,6.66
4/20/2017,0%,179.567,180.511,186.397,1.659
4/20/2017,0%,179.592,180.278,182.006,0.953
4/20/2017,0%,179.467,179.699,179.983,0.499
4/20/2017,0%,179.539,180.185,184.211,1.06
4/20/2017,0%,179.56,181.364,211.414,6.897
4/20/2017,0%,179.63,179.96,180.666,0.568
4/20/2017,0%,179.516,179.851,181.244,0.682
4/20/2017,0%,179.618,180.954,197.707,3.978
4/20/2017,0%,179.565,181.007,191.683,2.817
4/20/2017,0%,179.529,180.422,188.566,2.024
4/21/2017,0%,179.551,180.273,187.722,1.785
4/21/2017,0%,179.537,180.425,188.362,1.924
4/21/2017,0%,179.658,179.842,180.113,0.499
4/21/2017,0%,179.585,187.345,277.572,22.592
4/21/2017,0%,179.743,180.415,186.558,1.538
4/21/2017,0%,179.729,269.596,412.123,84.117
4/21/2017,0%,179.561,179.895,180.273,0.214
4/21/2017,0%,179.643,179.862,181.093,0.64
4/21/2017,0%,179.605,200.59,300.329,29.347
4/21/2017,0%,179.971,211.754,267.708,25.915
4/21/2017,0%,179.782,182.06,191.053,2.806
4/21/2017,0%,185.941,194.62,222.128,8.948
4/21/2017,0%,179.65,256.359,343.533,64.89
4/21/2017,0%,181.183,234.68,342.11,42.334
4/21/2017,0%,179.782,255.18,318.837,47.053
4/21/2017,0%,179.58,179.821,180.269,0.222
4/21/2017,0%,179.69,180.24,183.885,1.026
4/21/2017,0%,179.635,180.786,185.589,1.598
4/21/2017,0%,179.646,186.45,192.569,4.88
4/21/2017,0%,179.583,179.862,180.442,0.491
4/21/2017,0%,179.608,180.213,181.976,0.681
4/21/2017,0%,179.879,209.061,230.447,20.877
4/21/2017,0%,179.602,180.213,181.881,0.714
4/22/2017,0%,179.643,230.75,262.707,33.599
4/22/2017,0%,179.564,180.525,187.304,1.776
4/22/2017,0%,179.795,180.698,182.75,1
4/22/2017,0%,179.601,180.375,182.702,0.761
4/22/2017,0%,179.667,180.214,184.375,1.159
4/22/2017,5%,179.683,222.673,339.494,49.735
4/22/2017,0%,179.705,182.13,214.322,7.527
4/22/2017,0%,179.73,180.229,181.7,0.703
4/22/2017,0%,179.681,181.552,204.758,5.397
4/22/2017,0%,179.755,185.559,279.083,21.475
4/22/2017,0%,179.714,182.817,233.378,11.613
4/22/2017,0%,179.724,184.755,260.891,17.51
4/22/2017,0%,179.702,180.742,191.831,2.597
4/22/2017,0%,179.797,183.238,213.526,7.549
4/22/2017,0%,179.795,184.331,222.608,9.213
4/22/2017,0%,179.676,180.719,183.965,1.177
4/22/2017,0%,179.691,183.313,246.428,14.491
4/16/2017,0%,179.565,180.684,185.798,1.514
4/16/2017,0%,179.748,181.741,187.379,2.308
4/16/2017,0%,179.609,180.321,184.202,1.222
4/16/2017,0%,179.6,180.095,182.538,0.77
4/16/2017,0%,179.66,180.609,188.18,1.977
4/16/2017,0%,179.509,180.42,183.132,0.967
4/16/2017,0%,179.669,183.689,195.311,4.859
4/16/2017,0%,179.637,181.377,192.911,3.436
4/16/2017,0%,179.576,179.858,180.792,0.406
4/16/2017,0%,179.872,298.01,333.504,44.639
4/16/2017,0%,179.625,179.962,180.647,0.465
4/16/2017,0%,179.533,179.864,180.434,0.563
4/16/2017,0%,179.616,269.284,403.726,65.557
4/16/2017,0%,179.744,222.668,419.163,63.931
4/16/2017,0%,190.535,294.144,402.605,54.469
4/16/2017,0%,179.504,210.616,325.506,35.884
4/17/2017,0%,182.156,252.844,413.063,71.652
4/17/2017,0%,179.575,213.259,294.653,37.15
4/17/2017,0%,181.269,257.163,421.547,70.156
4/17/2017,0%,179.49,179.775,180.351,0.243
4/17/2017,0%,179.603,186.405,201.203,9.189
4/17/2017,0%,179.648,179.914,181.238,0.338
4/17/2017,0%,179.509,180.118,183.656,1.058
4/17/2017,0%,179.695,192.107,205.9,9.599
4/17/2017,0%,179.601,179.967,181.442,0.427
4/17/2017,0%,179.537,180.446,185.4,1.464
4/17/2017,0%,180.533,185.922,202.305,5.325
4/17/2017,0%,179.558,180.43,183.422,1.185
4/17/2017,0%,179.554,181.384,188.118,2.517
4/17/2017,0%,180.135,188.723,207.74,6.915
4/17/2017,0%,179.681,181.25,189.004,2.287
4/17/2017,0%,179.509,181.576,192.77,3.623
4/17/2017,0%,179.493,179.97,185.823,1.404
4/17/2017,0%,179.534,180.511,192.927,2.869
4/17/2017,0%,179.495,179.981,183.504,0.943
4/17/2017,0%,179.521,179.867,180.744,0.545
4/17/2017,0%,179.514,180.207,184.178,1.177
4/17/2017,0%,179.651,179.854,180.144,0.548
