Avg_A,Probability,Avg_B,Probability
32.255,0.397022333,32.487,0.397022333
32.256,0.399503722,32.489,0.399503722
32.265,0.401985112,32.492,0.401985112
32.266,0.404466501,32.493,0.404466501
32.268,0.406947891,32.494,0.406947891
32.271,0.40942928,32.497,0.40942928
32.274,0.41191067,32.502,0.41191067
32.279,0.41439206,32.502,0.41439206
32.281,0.416873449,32.504,0.416873449
32.281,0.419354839,32.507,0.419354839
32.288,0.421836228,32.511,0.421836228
32.288,0.424317618,32.512,0.424317618
32.293,0.426799007,32.515,0.426799007
32.296,0.429280397,32.516,0.429280397
32.311,0.431761787,32.52,0.431761787
32.319,0.434243176,32.527,0.434243176
32.325,0.436724566,32.544,0.436724566
32.327,0.439205955,32.551,0.439205955
32.327,0.441687345,32.555,0.441687345
32.33,0.444168734,32.555,0.444168734
32.332,0.446650124,32.569,0.446650124
32.333,0.449131514,32.583,0.449131514
32.337,0.451612903,32.588,0.451612903
32.338,0.454094293,32.588,0.454094293
32.339,0.456575682,32.595,0.456575682
32.34,0.459057072,32.598,0.459057072
32.342,0.461538462,32.598,0.461538462
32.346,0.464019851,32.6,0.464019851
32.346,0.466501241,32.604,0.466501241
32.347,0.46898263,32.604,0.46898263
32.356,0.47146402,32.608,0.47146402
32.357,0.473945409,32.615,0.473945409
32.361,0.476426799,32.617,0.476426799
32.363,0.478908189,32.624,0.478908189
32.366,0.481389578,32.625,0.481389578
32.367,0.483870968,32.63,0.483870968
32.37,0.486352357,32.638,0.486352357
32.376,0.488833747,32.641,0.488833747
32.378,0.491315136,32.646,0.491315136
32.378,0.493796526,32.649,0.493796526
32.378,0.496277916,32.649,0.496277916
32.381,0.498759305,32.651,0.498759305
32.385,0.501240695,32.651,0.501240695
32.394,0.503722084,32.66,0.503722084
32.397,0.506203474,32.661,0.506203474
32.399,0.508684864,32.662,0.508684864
32.399,0.511166253,32.664,0.511166253
32.403,0.513647643,32.666,0.513647643
32.403,0.516129032,32.676,0.516129032
32.407,0.518610422,32.68,0.518610422
32.414,0.521091811,32.681,0.521091811
32.414,0.523573201,32.686,0.523573201
32.417,0.526054591,32.695,0.526054591
32.42,0.52853598,32.699,0.52853598
32.426,0.53101737,32.712,0.53101737
32.428,0.533498759,32.714,0.533498759
32.43,0.535980149,32.727,0.535980149
32.444,0.538461538,32.729,0.538461538
32.447,0.540942928,32.729,0.540942928
32.454,0.543424318,32.738,0.543424318
32.455,0.545905707,32.745,0.545905707
32.456,0.548387097,32.748,0.548387097
32.463,0.550868486,32.749,0.550868486
32.468,0.553349876,32.757,0.553349876
32.473,0.555831266,32.774,0.555831266
32.473,0.558312655,32.774,0.558312655
32.48,0.560794045,32.788,0.560794045
32.487,0.563275434,32.789,0.563275434
32.488,0.565756824,32.791,0.565756824
32.502,0.568238213,32.798,0.568238213
32.504,0.570719603,32.798,0.570719603
32.508,0.573200993,32.799,0.573200993
32.513,0.575682382,32.801,0.575682382
32.513,0.578163772,32.803,0.578163772
32.522,0.580645161,32.804,0.580645161
32.523,0.583126551,32.816,0.583126551
32.524,0.58560794,32.835,0.58560794
32.526,0.58808933,32.839,0.58808933
32.526,0.59057072,32.852,0.59057072
32.529,0.593052109,32.852,0.593052109
32.531,0.595533499,32.853,0.595533499
32.532,0.598014888,32.873,0.598014888
32.54,0.600496278,32.874,0.600496278
32.544,0.602977667,32.875,0.602977667
32.547,0.605459057,32.8767606,0.605459057
32.549,0.607940447,32.878,0.607940447
32.556,0.610421836,32.883,0.610421836
32.557,0.612903226,32.893,0.612903226
32.557,0.615384615,32.9,0.615384615
32.563,0.617866005,32.9,0.617866005
32.569,0.620347395,32.911,0.620347395
32.573,0.622828784,32.916,0.622828784
32.575,0.625310174,32.917,0.625310174
32.578,0.627791563,32.921,0.627791563
32.582,0.630272953,32.921,0.630272953
32.582,0.632754342,32.923,0.632754342
32.585,0.635235732,32.927,0.635235732
32.588,0.637717122,32.93,0.637717122
32.593,0.640198511,32.933,0.640198511
32.596,0.642679901,32.933,0.642679901
32.612,0.64516129,32.942,0.64516129
32.614,0.64764268,32.95,0.64764268
