Avg_a,Probability1,Avg_b,Probability2
218.301,0.394540943,217.416,0.394540943
218.325,0.397022333,217.417,0.397022333
218.357,0.399503722,217.43,0.399503722
218.376,0.401985112,217.442,0.401985112
218.385,0.404466501,217.489,0.404466501
218.451,0.406947891,217.56,0.406947891
218.452,0.40942928,217.61,0.40942928
218.453,0.41191067,217.688,0.41191067
218.508,0.41439206,217.778,0.41439206
218.53,0.416873449,217.792,0.416873449
218.543,0.419354839,217.804,0.419354839
218.544,0.421836228,217.818,0.421836228
218.583,0.424317618,217.915,0.424317618
218.585,0.426799007,217.918,0.426799007
218.592,0.429280397,217.969,0.429280397
218.598,0.431761787,218.016,0.431761787
218.625,0.434243176,218.087,0.434243176
218.645,0.436724566,218.156,0.436724566
218.675,0.439205955,218.173,0.439205955
218.677,0.441687345,218.19,0.441687345
218.679,0.444168734,218.219,0.444168734
218.752,0.446650124,218.248,0.446650124
218.786,0.449131514,218.292,0.449131514
218.799,0.451612903,218.294,0.451612903
218.863,0.454094293,218.295,0.454094293
218.939,0.456575682,218.31,0.456575682
219.013,0.459057072,218.321,0.459057072
219.087,0.461538462,218.39,0.461538462
219.201,0.464019851,218.57,0.464019851
219.229,0.466501241,218.586,0.466501241
219.301,0.46898263,218.623,0.46898263
219.362,0.47146402,218.63,0.47146402
219.374,0.473945409,218.68,0.473945409
219.468,0.476426799,218.712,0.476426799
219.524,0.478908189,218.724,0.478908189
219.583,0.481389578,218.79,0.481389578
219.639,0.483870968,218.804,0.483870968
219.702,0.486352357,218.882,0.486352357
219.737,0.488833747,218.904,0.488833747
219.774,0.491315136,218.906,0.491315136
219.871,0.493796526,218.981,0.493796526
219.929,0.496277916,219.002,0.496277916
220.056,0.498759305,219.011,0.498759305
220.08,0.501240695,219.064,0.501240695
220.095,0.503722084,219.08,0.503722084
220.14,0.506203474,219.083,0.506203474
220.144,0.508684864,219.083,0.508684864
220.182,0.511166253,219.152,0.511166253
220.189,0.513647643,219.294,0.513647643
220.276,0.516129032,219.322,0.516129032
220.43,0.518610422,219.378,0.518610422
220.465,0.521091811,219.381,0.521091811
220.466,0.523573201,219.403,0.523573201
220.536,0.526054591,219.51,0.526054591
220.577,0.52853598,219.6,0.52853598
220.66,0.53101737,219.606,0.53101737
220.663,0.533498759,219.698,0.533498759
220.709,0.535980149,219.812,0.535980149
220.716,0.538461538,219.844,0.538461538
220.769,0.540942928,219.868,0.540942928
220.885,0.543424318,219.976,0.543424318
220.886,0.545905707,220.017,0.545905707
220.915,0.548387097,220.022,0.548387097
220.923,0.550868486,220.037,0.550868486
220.958,0.553349876,220.091,0.553349876
220.988,0.555831266,220.186,0.555831266
221.147,0.558312655,220.195,0.558312655
221.158,0.560794045,220.268,0.560794045
221.183,0.563275434,220.291,0.563275434
221.202,0.565756824,220.442,0.565756824
221.224,0.568238213,220.444,0.568238213
221.449,0.570719603,220.461,0.570719603
221.481,0.573200993,220.538,0.573200993
221.567,0.575682382,220.575,0.575682382
221.567,0.578163772,220.582,0.578163772
221.657,0.580645161,220.794,0.580645161
221.753,0.583126551,220.821,0.583126551
221.779,0.58560794,220.825,0.58560794
221.787,0.58808933,220.88,0.58808933
221.972,0.59057072,220.894,0.59057072
222.159,0.593052109,220.996,0.593052109
222.181,0.595533499,221.111,0.595533499
