Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,29.462,29.485,29.527,0.203
4/22/2017,0%,29.473,29.494,29.524,0.172
4/22/2017,0%,29.462,29.481,29.501,0.144
4/22/2017,0%,29.466,29.485,29.516,0.188
4/22/2017,0%,29.466,29.561,30.89,0.346
4/22/2017,0%,29.465,29.484,29.546,0.122
4/22/2017,0%,29.457,29.5,29.674,0.24
4/22/2017,0%,29.455,29.489,29.534,0.123
4/22/2017,0%,29.46,29.492,29.565,0.022
4/22/2017,0%,29.463,29.485,29.527,0.154
4/22/2017,0%,29.463,29.482,29.504,0.154
4/22/2017,0%,29.466,29.502,29.657,0.108
4/22/2017,0%,29.458,29.489,29.566,0.197
4/22/2017,0%,29.454,29.504,29.561,0.028
4/22/2017,0%,29.456,29.481,29.556,0.164
4/22/2017,0%,29.454,29.508,29.745,0.245
4/22/2017,0%,29.458,29.491,29.514,0.109
4/22/2017,0%,29.458,29.514,29.656,0.082
4/23/2017,0%,29.459,29.492,29.623,0.137
4/23/2017,0%,29.461,29.483,29.516,0.237
4/23/2017,0%,29.457,29.486,29.633,0.114
4/23/2017,0%,29.466,29.497,29.654,0.214
4/23/2017,0%,29.455,29.495,29.75,0.155
4/23/2017,0%,29.454,29.487,29.521,0.237
4/23/2017,0%,29.455,29.478,29.516,0.172
4/23/2017,0%,29.438,29.483,29.542,0.096
4/23/2017,0%,29.455,29.476,29.506,0.217
4/23/2017,0%,29.455,29.487,29.525,0.218
4/23/2017,0%,29.466,29.498,29.543,0.224
4/23/2017,0%,29.448,29.476,29.519,0.217
4/23/2017,0%,29.465,29.484,29.531,0.163
4/23/2017,0%,29.47,29.493,29.532,0.203
4/23/2017,0%,29.469,29.486,29.52,0.237
4/23/2017,0%,29.458,29.484,29.511,0.196
4/23/2017,0%,29.456,29.492,29.586,0.082
4/23/2017,0%,29.464,29.502,29.562,0.225
4/23/2017,0%,29.46,29.487,29.536,0.217
4/23/2017,0%,29.458,29.523,30.163,0.213
4/23/2017,0%,29.454,29.501,29.624,0.207
4/23/2017,0%,29.457,29.526,29.724,0.179
4/23/2017,0%,29.466,29.488,29.576,0.211
4/23/2017,0%,29.461,30.188,40.787,2.515
4/24/2017,0%,29.464,29.524,29.852,0.163
4/24/2017,0%,29.469,29.501,29.605,0.146
4/24/2017,0%,29.477,29.737,31.951,0.713
4/24/2017,0%,29.455,29.507,29.725,0.06
4/24/2017,0%,29.444,29.482,29.534,0.173
4/24/2017,0%,29.443,29.491,29.563,0.225
4/24/2017,0%,29.449,29.482,29.515,0.224
4/24/2017,0%,29.458,29.485,29.538,0.058
4/24/2017,0%,29.455,29.487,29.598,0.165
4/24/2017,0%,29.451,29.48,29.514,0.095
4/24/2017,0%,29.443,31.534,70.508,8.942
4/24/2017,0%,29.455,29.479,29.514,0.056
4/24/2017,0%,29.438,29.475,29.508,0.018
4/24/2017,0%,29.459,29.507,29.654,0.143
4/24/2017,0%,29.448,29.486,29.577,0.098
4/24/2017,0%,29.472,29.51,29.718,0.18
4/24/2017,0%,29.457,29.49,29.535,0.224
4/24/2017,0%,29.466,29.488,29.538,0.079
4/24/2017,0%,29.422,29.51,29.777,0.249
4/24/2017,0%,29.459,29.488,29.577,0.135
4/24/2017,0%,29.46,29.499,29.674,0.208
4/24/2017,0%,29.454,29.555,30.265,0.298
4/24/2017,0%,29.46,29.484,29.535,0.122
4/24/2017,0%,29.457,29.481,29.57,0.211
4/25/2017,0%,29.467,29.497,29.693,0.222
4/25/2017,0%,29.457,29.49,29.556,0.181
4/25/2017,0%,29.449,29.498,29.603,0.126
4/25/2017,0%,29.473,29.527,29.624,0.138
4/25/2017,0%,29.459,29.489,29.563,0.238
4/25/2017,0%,29.463,29.5,29.659,0.184
4/25/2017,0%,29.45,29.488,29.562,0.155
4/25/2017,0%,29.463,29.494,29.542,0.057
4/25/2017,0%,29.453,29.535,30.367,0.29
4/25/2017,0%,29.467,29.503,29.573,0.212
4/25/2017,0%,29.459,29.491,29.525,0.057
4/25/2017,0%,29.477,29.497,29.534,0.23
4/25/2017,0%,29.462,29.503,29.539,0.231
4/25/2017,0%,29.465,29.502,29.526,0.134
4/25/2017,0%,29.468,30.203,37.962,2.152
4/25/2017,0%,29.483,29.522,29.712,0.178
4/19/2017,0%,29.457,29.481,29.514,0.133
4/19/2017,0%,29.46,29.483,29.543,0.154
4/19/2017,0%,29.456,29.482,29.522,0.078
4/19/2017,5%,29.452,29.486,29.537,0.082
4/19/2017,0%,29.446,29.485,29.528,0.204
4/19/2017,0%,29.462,29.48,29.533,0.203
4/19/2017,0%,29.454,29.476,29.5,0.188
4/19/2017,0%,29.452,29.489,29.526,0.211
4/19/2017,0%,29.448,29.48,29.499,0.18
4/19/2017,0%,29.458,29.484,29.516,0.196
4/19/2017,0%,29.451,29.484,29.534,0.218
4/19/2017,0%,29.46,29.488,29.528,0.109
4/19/2017,0%,29.467,29.508,29.743,0.245
4/19/2017,0%,29.438,29.525,29.658,0.225
4/19/2017,0%,29.453,29.487,29.631,0.206
4/19/2017,0%,29.464,29.496,29.55,0.079
4/19/2017,0%,29.463,29.485,29.546,0.122
4/20/2017,0%,29.461,29.481,29.513,0.133
4/20/2017,0%,29.458,29.485,29.532,0.057
4/20/2017,0%,29.469,29.502,29.579,0.232
4/20/2017,0%,29.473,29.499,29.644,0.065
4/20/2017,0%,29.46,29.487,29.601,0.183
4/20/2017,0%,29.453,29.478,29.518,0.134
4/20/2017,0%,29.468,29.49,29.52,0.172
4/20/2017,0%,29.459,29.484,29.519,0.122
4/20/2017,0%,29.458,29.48,29.503,0.055
4/20/2017,0%,29.439,29.479,29.521,0.224
4/20/2017,0%,29.459,29.483,29.506,0.154
4/20/2017,0%,29.468,29.484,29.545,0.078
4/20/2017,0%,29.47,29.49,29.521,0.21
4/20/2017,0%,29.462,29.48,29.498,0.224
4/20/2017,0%,29.452,29.484,29.502,0.203
4/20/2017,0%,29.466,29.499,29.715,0.121
4/20/2017,0%,29.459,29.488,29.543,0.173
4/20/2017,0%,29.44,29.482,29.519,0.11
4/20/2017,0%,29.466,29.699,33.43,0.885
4/20/2017,0%,29.453,29.491,29.545,0.164
4/20/2017,0%,29.46,29.486,29.549,0.164
4/20/2017,0%,29.432,29.515,29.813,0.243
4/20/2017,0%,29.452,29.49,29.552,0.19
4/20/2017,0%,29.451,29.512,29.874,0.246
4/21/2017,0%,29.456,29.499,29.554,0.198
4/21/2017,0%,29.432,29.492,29.697,0.203
4/21/2017,0%,29.462,29.498,29.685,0.234
4/21/2017,0%,29.455,29.539,30.55,0.251
4/21/2017,0%,29.426,29.479,29.52,0.145
4/21/2017,0%,29.454,29.502,29.695,0.173
4/21/2017,0%,29.426,29.484,29.521,0.164
4/21/2017,0%,29.433,29.482,29.579,0.136
4/21/2017,0%,29.461,29.485,29.543,0.145
4/21/2017,0%,29.449,29.482,29.53,0.172
4/21/2017,0%,29.453,29.48,29.522,0.016
4/21/2017,0%,29.458,29.49,29.673,0.215
4/21/2017,0%,29.464,29.484,29.526,0.172
4/21/2017,0%,29.452,29.481,29.541,0.218
4/21/2017,0%,29.469,29.507,29.779,0.226
4/21/2017,0%,29.453,29.498,29.554,0.164
4/21/2017,0%,29.463,29.5,29.64,0.22
4/21/2017,0%,29.474,29.5,29.59,0.197
4/21/2017,0%,29.461,29.5,29.605,0.183
4/21/2017,0%,29.467,29.517,29.658,0.241
4/21/2017,0%,29.464,29.493,29.651,0.192
4/21/2017,0%,29.466,29.519,29.583,0.213
4/21/2017,0%,29.454,29.482,29.529,0.122
4/22/2017,0%,29.46,29.535,29.795,0.195
4/22/2017,0%,29.47,29.494,29.538,0.095
4/22/2017,0%,29.461,29.5,29.672,0.168
4/22/2017,0%,29.459,29.502,29.669,0.068
4/22/2017,0%,29.454,29.482,29.511,0.237
4/22/2017,0%,29.459,29.498,29.75,0.173
4/22/2017,0%,29.428,29.478,29.557,0.237
4/22/2017,0%,29.45,29.484,29.54,0.145
4/22/2017,0%,29.461,29.548,30.05,0.262
4/22/2017,0%,29.451,29.509,29.98,0.26
4/22/2017,0%,29.466,29.483,29.507,0.23
4/22/2017,0%,29.472,29.493,29.53,0.217
4/22/2017,0%,29.459,29.501,29.603,0.082
4/22/2017,0%,29.472,34.514,72.26,11.885
4/22/2017,0%,29.463,29.518,29.711,0.243
4/22/2017,0%,29.478,29.512,29.56,0.024
4/22/2017,0%,29.482,29.528,29.657,0.139
4/16/2017,0%,29.452,29.493,29.707,0.142
4/16/2017,0%,29.461,29.483,29.527,0.154
4/16/2017,0%,29.46,29.483,29.524,0.18
4/16/2017,0%,29.449,29.472,29.491,0.011
4/16/2017,0%,29.456,29.489,29.569,0.182
4/16/2017,0%,29.462,29.479,29.508,0.011
4/16/2017,0%,29.446,29.481,29.514,0.21
4/16/2017,0%,29.47,29.488,29.522,0.224
4/16/2017,0%,29.453,29.479,29.527,0.172
4/16/2017,0%,29.458,29.479,29.508,0.224
4/16/2017,0%,29.451,29.485,29.531,0.196
4/16/2017,0%,29.457,29.486,29.522,0.231
4/16/2017,0%,29.453,29.49,29.56,0.026
4/16/2017,0%,29.469,29.517,29.605,0.127
4/16/2017,0%,29.459,29.493,29.612,0.219
4/16/2017,0%,29.464,29.491,29.55,0.11
4/16/2017,0%,29.456,29.521,29.793,0.19
4/17/2017,0%,29.448,29.48,29.633,0.037
4/17/2017,0%,29.467,29.487,29.522,0.078
4/17/2017,0%,29.469,29.495,29.55,0.017
4/17/2017,0%,29.467,29.49,29.522,0.122
4/17/2017,0%,29.462,29.495,29.697,0.241
4/17/2017,0%,29.456,29.482,29.526,0.095
4/17/2017,0%,29.459,29.512,29.566,0.19
4/17/2017,0%,29.465,29.48,29.515,0.077
4/17/2017,0%,29.46,29.487,29.528,0.163
4/17/2017,0%,29.453,29.48,29.509,0.21
4/17/2017,0%,29.459,29.482,29.53,0.172
4/17/2017,0%,29.457,29.493,29.677,0.23
4/17/2017,0%,29.451,29.479,29.517,0.163
4/17/2017,0%,29.47,29.482,29.5,0.094
4/17/2017,0%,29.461,29.482,29.525,0.21
4/17/2017,0%,29.46,29.49,29.563,0.211
4/17/2017,0%,29.453,29.477,29.526,0.144
4/17/2017,0%,29.465,29.514,29.643,0.222
4/17/2017,0%,29.457,29.497,29.54,0.154
4/17/2017,0%,29.462,29.504,29.771,0.239
4/17/2017,0%,29.466,29.513,29.731,0.155
4/17/2017,0%,29.45,29.492,29.561,0.123
4/17/2017,0%,29.46,29.489,29.556,0.123
4/17/2017,0%,29.45,29.559,30.364,0.213
4/18/2017,0%,29.468,29.498,29.595,0.22
4/18/2017,0%,29.443,29.487,29.672,0.045
4/18/2017,0%,29.47,29.507,29.776,0.233
4/18/2017,0%,29.466,29.492,29.536,0.095
4/18/2017,0%,29.445,29.473,29.52,0.203
4/18/2017,0%,29.463,29.484,29.507,0.21
4/18/2017,5%,29.463,29.487,29.524,0.237
4/18/2017,0%,29.461,29.479,29.503,0.23
4/18/2017,0%,29.445,29.474,29.51,0.21
4/18/2017,0%,29.442,29.473,29.524,0.172
4/18/2017,0%,29.459,29.481,29.547,0.237
4/18/2017,0%,29.468,29.497,29.771,0.226
4/18/2017,0%,29.449,29.482,29.52,0.11
4/18/2017,0%,29.451,29.586,31.482,0.477
4/18/2017,0%,29.459,29.525,30.124,0.242
4/18/2017,0%,29.47,29.525,29.669,0.201
4/18/2017,0%,29.445,29.491,29.639,0.167
4/18/2017,0%,29.463,29.504,29.757,0.099
4/18/2017,0%,29.442,29.493,29.546,0.204
4/18/2017,0%,29.461,29.499,29.756,0.218
4/18/2017,0%,29.463,29.5,29.599,0.184
4/18/2017,0%,29.466,29.508,29.878,0.199
4/18/2017,0%,29.46,29.477,29.521,0.21
4/19/2017,0%,29.465,29.499,29.593,0.157
4/19/2017,0%,29.461,29.502,29.573,0.174
4/19/2017,0%,29.465,29.502,29.547,0.111
4/19/2017,0%,29.459,29.523,29.82,0.167
4/19/2017,0%,29.453,29.475,29.513,0.133
4/19/2017,0%,29.451,29.492,29.549,0.181
4/19/2017,0%,29.463,29.493,29.552,0.181
4/19/2017,0%,29.455,29.486,29.528,0.231
4/19/2017,0%,29.462,29.494,29.557,0.026
4/19/2017,0%,29.452,29.491,29.552,0.023
4/19/2017,0%,29.462,29.49,29.514,0.188
4/19/2017,0%,29.463,29.49,29.558,0.224
4/19/2017,0%,29.479,29.503,29.532,0.196
4/19/2017,0%,29.476,29.525,29.712,0.171
4/19/2017,0%,29.459,29.497,29.521,0.23
4/19/2017,5%,29.489,29.516,29.596,0.168
4/19/2017,0%,29.472,29.529,29.727,0.144
4/13/2017,0%,29.444,29.48,29.56,0.182
4/13/2017,0%,29.444,29.473,29.496,0.217
4/13/2017,0%,29.445,29.473,29.499,0.163
4/13/2017,0%,29.456,29.476,29.511,0.23
4/13/2017,0%,29.445,29.49,29.529,0.189
4/13/2017,0%,29.453,29.479,29.512,0.056
4/13/2017,5%,29.458,29.494,29.741,0.148
4/13/2017,0%,29.463,29.484,29.525,0.015
4/13/2017,0%,29.45,29.576,31.401,0.459
4/13/2017,0%,29.464,29.589,31.646,0.519
4/13/2017,0%,29.465,29.489,29.555,0.02
4/13/2017,0%,29.454,29.478,29.511,0.203
4/13/2017,0%,29.458,29.495,29.645,0.148
4/13/2017,0%,29.469,29.542,29.878,0.229
4/13/2017,5%,29.444,29.475,29.5,0.148
4/13/2017,0%,29.458,29.491,29.534,0.218
4/13/2017,0%,29.462,29.502,29.627,0.226
4/14/2017,0%,29.463,29.489,29.532,0.163
4/14/2017,0%,29.457,29.486,29.583,0.204
4/14/2017,0%,29.459,29.492,29.538,0.096
4/14/2017,0%,29.454,29.529,29.892,0.226
4/14/2017,0%,29.428,29.483,29.536,0.096
4/14/2017,5%,29.45,29.494,29.564,0.16
4/14/2017,0%,29.46,29.478,29.501,0.153
4/14/2017,0%,29.468,29.484,29.501,0.21
4/14/2017,0%,29.454,29.475,29.489,0.109
4/14/2017,0%,29.456,29.475,29.51,0.122
4/14/2017,0%,29.458,29.479,29.51,0.154
4/14/2017,0%,29.453,29.481,29.536,0.144
4/14/2017,0%,29.451,29.474,29.508,0.188
4/14/2017,0%,29.452,29.487,29.539,0.196
4/14/2017,0%,29.467,29.483,29.505,0.077
4/14/2017,0%,29.453,29.482,29.533,0.134
4/14/2017,0%,29.455,29.491,29.58,0.212
4/14/2017,0%,29.46,29.491,29.551,0.096
4/14/2017,0%,29.455,29.495,29.682,0.228
4/14/2017,0%,29.458,29.498,29.554,0.155
4/14/2017,0%,29.466,29.507,29.735,0.197
4/14/2017,0%,29.466,29.5,29.561,0.156
4/14/2017,0%,29.449,29.524,29.694,0.06
4/14/2017,0%,29.473,29.508,29.606,0.175
4/15/2017,0%,29.457,29.521,29.769,0.155
4/15/2017,0%,29.466,29.491,29.574,0.097
4/15/2017,0%,29.461,29.499,29.636,0.214
4/15/2017,5%,29.448,29.488,29.592,0.084
4/15/2017,0%,29.454,29.492,29.698,0.091
4/15/2017,0%,29.462,29.487,29.538,0.224
4/15/2017,0%,29.442,29.482,29.524,0.058
4/15/2017,0%,29.461,29.476,29.502,0.163
4/15/2017,0%,29.457,29.478,29.492,0.188
4/15/2017,0%,29.457,29.484,29.593,0.19
4/15/2017,0%,29.449,29.482,29.543,0.096
4/15/2017,0%,29.459,30.131,38.701,2.13
4/15/2017,0%,29.445,29.478,29.507,0.133
4/15/2017,0%,29.457,29.481,29.509,0.224
4/15/2017,0%,29.468,29.498,29.627,0.083
4/15/2017,0%,29.47,29.555,30.535,0.28
4/15/2017,0%,29.45,29.517,29.71,0.088
4/15/2017,0%,29.466,29.504,29.602,0.167
4/15/2017,0%,29.468,29.521,29.765,0.217
4/15/2017,0%,29.469,29.531,29.961,0.229
4/15/2017,0%,29.457,29.497,29.578,0.061
4/15/2017,0%,29.456,29.493,29.677,0.129
4/15/2017,0%,29.462,29.498,29.678,0.216
4/16/2017,0%,29.459,29.51,29.764,0.159
4/16/2017,0%,29.459,29.521,29.845,0.157
4/16/2017,0%,29.461,29.539,29.795,0.106
4/16/2017,0%,29.465,29.504,29.623,0.126
4/16/2017,0%,29.451,29.492,29.593,0.232
4/16/2017,0%,29.474,29.514,29.571,0.238
4/16/2017,0%,29.446,29.475,29.515,0.237
4/16/2017,0%,29.457,29.493,29.731,0.211
4/16/2017,0%,29.477,29.493,29.52,0.21
