Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,123.551,123.635,123.838,0.133
4/22/2017,0%,123.501,123.622,124.07,0.352
4/22/2017,0%,123.528,123.608,123.841,0.36
4/22/2017,0%,123.468,123.571,123.755,0.201
4/22/2017,0%,123.485,123.578,123.859,0.422
4/22/2017,0%,123.448,123.594,123.81,0.281
4/22/2017,0%,123.515,123.606,124.14,0.305
4/22/2017,0%,123.468,123.582,123.845,0.391
4/22/2017,0%,123.491,123.577,123.873,0.477
4/22/2017,0%,123.463,123.584,123.838,0.304
4/22/2017,0%,123.507,123.598,123.923,0.287
4/22/2017,0%,123.498,123.611,123.829,0.392
4/22/2017,0%,123.539,123.623,123.892,0.26
4/22/2017,0%,123.535,123.604,123.834,0.435
4/22/2017,0%,123.495,123.601,123.905,0.137
4/22/2017,0%,143.239,143.372,143.621,0.471
4/22/2017,0%,143.264,143.382,143.634,0.097
4/23/2017,0%,123.496,123.609,123.913,0.383
4/23/2017,0%,123.528,123.606,123.896,0.342
4/23/2017,0%,123.493,123.603,123.896,0.139
4/23/2017,0%,123.505,123.636,123.861,0.306
4/23/2017,0%,123.528,123.603,123.899,0.437
4/23/2017,0%,123.571,123.652,124.012,0.309
4/23/2017,0%,123.472,123.593,123.773,0.127
4/23/2017,0%,123.487,123.593,123.898,0.377
4/23/2017,0%,123.533,123.604,123.848,0.232
4/23/2017,0%,123.521,123.61,123.877,0.437
4/23/2017,0%,123.515,123.707,125.594,0.515
4/23/2017,0%,123.526,123.632,123.851,0.323
4/23/2017,0%,123.532,123.639,123.903,0.141
4/23/2017,0%,123.512,123.582,123.864,0.375
4/23/2017,0%,123.508,123.583,123.81,0.45
4/23/2017,0%,123.5,123.607,123.885,0.379
4/23/2017,0%,123.552,123.619,123.802,0.126
4/23/2017,0%,123.493,123.62,123.908,0.495
4/23/2017,0%,123.521,123.602,123.84,0.49
4/23/2017,0%,123.508,123.639,124.061,0.164
4/23/2017,0%,123.505,123.61,123.858,0.423
4/23/2017,0%,123.515,123.608,123.888,0.175
4/23/2017,0%,123.534,123.637,123.897,0.178
4/23/2017,0%,123.512,123.632,123.848,0.088
4/24/2017,0%,123.495,123.587,123.856,0.324
4/24/2017,0%,123.536,123.614,123.82,0.448
